graph,n_vars,u_v_ratio,sim,n_confounders,n_districts,query,query_is_cf,min_intervention_outcome_dist,n_R_theta,n_R_theta_star,n_experiments,n_cf_experiments,fraction_cf,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
asia.bif,8,0.125,0,1,7,"Y={'dysp', 'smoke', 'asia', 'either'}, X={'lung', 'tub', 'bronc'}",False,1,1,1,30,0,0.0,30,0,1.0,30,0
asia.bif,8,1.0,1,8,3,"Y={'dysp'}, X={'asia'}",False,3,8,8,30,0,0.0,7,23,0.23333333333333334,7,0
asia.bif,8,0.125,2,1,7,"Y={'either'}, X={'smoke', 'lung', 'tub', 'asia'}",False,1,1,1,30,0,0.0,30,0,1.0,30,0
asia.bif,8,0.875,3,7,2,"Y={'lung', 'bronc', 'xray', 'dysp', 'either'}, X={'smoke', 'tub', 'asia'}; Y={'xray', 'bronc', 'dysp'}, X={'smoke', 'lung', 'tub', 'asia', 'either'}",True,1,6,7,30,0,0.0,12,18,0.4,12,0
asia.bif,8,0.125,4,1,7,"Y={'lung', 'tub', 'asia'}, X={'smoke'}",False,1,1,1,30,0,0.0,30,0,1.0,30,0
sachs.bif,11,0.8181818181818182,0,9,3,"Y={'Mek', 'Raf', 'Akt', 'PKA'}, X={'PKC', 'Erk'}",False,1,5,9,30,0,0.0,22,8,0.7333333333333333,22,0
sachs.bif,11,0.2727272727272727,1,3,8,"Y={'PIP3', 'P38'}, X={'PKC', 'PKA'}",False,1,2,2,30,0,0.0,14,16,0.4666666666666667,14,0
sachs.bif,11,0.36363636363636365,2,4,7,"Y={'Erk', 'Akt'}, X={'PKC', 'Raf', 'Mek', 'PKA'}; Y={'Akt'}, X={'Raf', 'Mek', 'PKA'}",True,1,2,2,30,0,0.0,21,9,0.7,20,1
sachs.bif,11,0.45454545454545453,3,5,6,"Y={'PKC', 'Plcg', 'Jnk'}, X={'PKA'}; Y={'P38', 'PKC', 'PIP2', 'Plcg'}, X={'PIP3', 'PKA'}",True,1,5,5,30,0,0.0,10,20,0.3333333333333333,10,0
sachs.bif,11,0.6363636363636364,4,7,4,"Y={'Raf', 'Akt'}, X={'PKA'}; Y={'Raf'}, X={'PKC', 'PKA'}",True,1,7,7,30,0,0.0,15,15,0.5,15,0
alarm.bif,37,0.13513513513513514,0,5,32,"Y={'VENTLUNG', 'PRESS', 'HYPOVOLEMIA', 'TPR'}, X={'MINVOLSET', 'VENTTUBE', 'KINKEDTUBE'}",False,1,1,1,30,0,0.0,30,0,1.0,30,0
alarm.bif,37,0.7297297297297297,1,27,10,"Y={'PRESS'}, X={'DISCONNECT', 'MINVOLSET', 'INTUBATION', 'VENTMACH', 'KINKEDTUBE'}",False,1,3,26,30,0,0.0,30,0,1.0,30,0
alarm.bif,37,0.972972972972973,2,36,4,"Y={'VENTLUNG', 'HYPOVOLEMIA', 'KINKEDTUBE'}, X={'INTUBATION', 'MINVOLSET', 'VENTTUBE', 'DISCONNECT'}",False,1,7,36,30,0,0.0,17,13,0.5666666666666667,17,0
alarm.bif,37,0.24324324324324326,3,9,28,"Y={'HRSAT'}, X={'INTUBATION', 'HR', 'TPR'}; Y={'ARTCO2', 'KINKEDTUBE', 'HRSAT', 'LVFAILURE'}, X={'PULMEMBOLUS', 'MINVOLSET', 'TPR'}",True,1,6,7,30,0,0.0,29,1,0.9666666666666667,29,0
alarm.bif,37,0.8648648648648649,4,32,9,"Y={'KINKEDTUBE', 'PULMEMBOLUS', 'TPR', 'PCWP'}, X={'HYPOVOLEMIA'}",False,2,12,32,30,0,0.0,24,6,0.8,24,0
barley.bif,48,0.125,0,6,42,"Y={'aar_mod', 'sorttkv', 'ksort', 'sort'}, X={'tkvs', 'pesticid', 'frspdag'}",False,3,6,6,30,0,0.0,30,0,1.0,30,0
barley.bif,48,0.9791666666666666,1,47,6,"Y={'aks_m2'}, X={'aar_mod', 'pesticid'}; Y={'aks_m2'}, X={'aar_mod', 'saatid'}",True,2,42,47,30,0,0.0,20,10,0.6666666666666666,20,0
barley.bif,48,0.08333333333333333,2,4,44,"Y={'ntilg', 'partigerm', 'aks_m2'}, X={'nopt', 'pesticid', 'potnmin', 'exptgens', 'aar_mod'}",False,2,4,4,30,0,0.0,29,1,0.9666666666666667,29,0
barley.bif,48,0.3958333333333333,3,19,29,"Y={'jordinf', 'ngodnt', 'ntilg', 'komm', 'dgv5980'}, X={'rokap', 'potnmin', 'nmin'}; Y={'tkv', 'komm', 'protein'}, X={'potnmin', 'nedbarea'}",True,1,17,18,30,0,0.0,30,0,1.0,30,0
barley.bif,48,0.9375,4,45,9,"Y={'jordinf', 'udb'}, X={'nopt', 'partigerm', 'jordtype', 'jordn', 'ngtilg'}",False,2,21,45,30,0,0.0,14,16,0.4666666666666667,14,0
child.bif,20,0.15,0,3,17,"Y={'DuctFlow', 'Age', 'HypDistrib', 'LowerBodyO2'}, X={'BirthAsphyxia', 'LungParench', 'CardiacMixing'}",False,1,3,3,30,0,0.0,29,1,0.9666666666666667,29,0
child.bif,20,0.3,1,6,14,"Y={'LungParench'}, X={'BirthAsphyxia', 'Disease'}",False,1,2,3,30,0,0.0,30,0,1.0,30,0
child.bif,20,0.05,2,1,19,"Y={'HypoxiaInO2', 'LungParench', 'CardiacMixing', 'ChestXray'}, X={'BirthAsphyxia', 'Disease', 'LungFlow'}",False,1,1,1,30,0,0.0,30,0,1.0,30,0
