graph,n_vars,p_conf,sim,n_confounders,query,n_R_theta,n_R_theta_star,n_experiments,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
asia.bif,8,0.05,0,1,"Y={'lung'}, X={'either', 'dysp'}; Y={'dysp'}, X={'tub', 'lung'}",1,1,100,67,33,0.67,63,4
asia.bif,8,0.05,1,0,"Y={'bronc'}, X={'xray', 'either', 'smoke', 'lung'}; Y={'xray'}, X={'dysp'}; Y={'either'}, X={'asia'}",0,0,100,100,0,1.0,81,19
asia.bif,8,0.05,2,4,"Y={'tub'}, X={'dysp'}; Y={'xray'}, X={'either', 'smoke', 'tub'}; Y={'tub'}, X={'either', 'lung'}",2,4,100,58,42,0.58,58,0
asia.bif,8,0.05,3,1,"Y={'smoke'}, X={'xray', 'dysp', 'lung'}; Y={'smoke'}, X={'either', 'bronc'}",0,0,100,100,0,1.0,73,27
asia.bif,8,0.05,4,2,"Y={'dysp'}, X={'smoke', 'bronc'}; Y={'lung'}, X={'xray', 'smoke'}; Y={'lung'}, X={'dysp', 'tub'}",2,2,100,70,30,0.7,69,1
asia.bif,8,0.05,5,0,"Y={'tub'}, X={'lung'}; Y={'lung'}, X={'dysp', 'tub'}",0,0,100,100,0,1.0,74,26
asia.bif,8,0.05,6,1,"Y={'dysp'}, X={'either', 'lung'}; Y={'bronc'}, X={'either', 'xray', 'asia'}",0,0,100,100,0,1.0,61,39
asia.bif,8,0.05,7,1,"Y={'either'}, X={'lung', 'smoke', 'tub'}; Y={'xray'}, X={'tub'}",1,1,100,67,33,0.67,66,1
asia.bif,8,0.05,8,1,"Y={'lung'}, X={'xray', 'tub', 'bronc', 'smoke'}",1,1,100,78,22,0.78,77,1
asia.bif,8,0.05,9,1,"Y={'tub'}, X={'xray', 'dysp', 'lung'}; Y={'either'}, X={'bronc'}",0,0,100,100,0,1.0,71,29
asia.bif,8,0.05,10,3,"Y={'bronc'}, X={'dysp', 'asia', 'lung'}; Y={'dysp'}, X={'xray', 'asia', 'lung'}",3,3,100,53,47,0.53,53,0
asia.bif,8,0.05,11,3,"Y={'smoke'}, X={'dysp', 'lung'}; Y={'bronc'}, X={'lung'}",2,2,100,62,38,0.62,60,2
asia.bif,8,0.05,12,0,"Y={'xray'}, X={'smoke', 'asia', 'tub'}",0,0,100,100,0,1.0,75,25
asia.bif,8,0.05,13,2,"Y={'tub'}, X={'either', 'xray', 'dysp'}; Y={'either'}, X={'bronc'}; Y={'bronc'}, X={'either', 'xray', 'asia', 'smoke'}; Y={'smoke'}, X={'asia', 'dysp'}",2,2,100,60,40,0.6,60,0
asia.bif,8,0.05,14,3,"Y={'dysp'}, X={'smoke', 'lung'}",3,3,100,42,58,0.42,40,2
