graph,n_vars,p_conf,sim,n_confounders,query,n_R_theta,n_R_theta_star,n_experiments,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
asia.bif,8,0.005,0,0,"Y={'xray'}, X={'either', 'bronc'}; Y={'smoke'}, X={'tub', 'either', 'lung', 'bronc'}",0,0,500,500,0,1.0,143,357
asia.bif,8,0.005,1,0,"Y={'either'}, X={'lung', 'tub'}; Y={'bronc'}, X={'asia', 'smoke', 'dysp'}",0,0,500,500,0,1.0,171,329
asia.bif,8,0.005,2,0,"Y={'dysp'}, X={'asia', 'bronc'}; Y={'lung'}, X={'either'}",0,0,500,500,0,1.0,139,361
asia.bif,8,0.005,3,0,"Y={'either'}, X={'tub'}; Y={'bronc'}, X={'either', 'dysp', 'tub'}",0,0,500,500,0,1.0,153,347
asia.bif,8,0.005,4,0,"Y={'dysp'}, X={'either'}; Y={'lung'}, X={'either', 'asia', 'dysp'}",0,0,500,500,0,1.0,147,353
asia.bif,8,0.005,5,0,"Y={'dysp'}, X={'either'}; Y={'lung'}, X={'either', 'tub'}",0,0,500,500,0,1.0,140,360
asia.bif,8,0.005,6,0,"Y={'smoke'}, X={'lung'}; Y={'tub'}, X={'either', 'lung'}",0,0,500,500,0,1.0,156,344
asia.bif,8,0.005,7,0,"Y={'dysp'}, X={'either', 'bronc'}; Y={'dysp'}, X={'either', 'smoke', 'bronc'}",0,0,500,500,0,1.0,153,347
asia.bif,8,0.005,8,0,"Y={'xray'}, X={'either', 'bronc'}; Y={'tub'}, X={'either'}",0,0,500,500,0,1.0,150,350
asia.bif,8,0.005,9,0,"Y={'asia'}, X={'tub'}; Y={'lung'}, X={'xray', 'smoke'}",0,0,500,500,0,1.0,147,353
asia.bif,8,0.015,0,1,"Y={'dysp'}, X={'lung', 'bronc'}; Y={'either'}, X={'tub', 'dysp', 'asia', 'lung'}",1,1,500,160,340,0.32,139,21
asia.bif,8,0.015,1,0,"Y={'smoke'}, X={'xray', 'bronc'}; Y={'either'}, X={'dysp', 'tub', 'bronc'}",0,0,500,500,0,1.0,147,353
asia.bif,8,0.015,2,0,"Y={'either'}, X={'lung', 'tub', 'bronc'}; Y={'lung'}, X={'smoke', 'asia'}",0,0,500,500,0,1.0,161,339
asia.bif,8,0.015,3,2,"Y={'dysp'}, X={'either', 'asia', 'tub', 'lung'}; Y={'dysp'}, X={'either', 'asia'}",1,2,500,141,359,0.282,125,16
asia.bif,8,0.015,4,0,"Y={'either'}, X={'asia', 'dysp', 'lung', 'bronc'}; Y={'xray'}, X={'either', 'bronc'}",0,0,500,500,0,1.0,168,332
asia.bif,8,0.015,5,0,"Y={'dysp'}, X={'either', 'lung'}; Y={'lung'}, X={'either', 'smoke'}",0,0,500,500,0,1.0,160,340
asia.bif,8,0.015,6,0,"Y={'dysp'}, X={'either', 'smoke', 'asia', 'bronc'}; Y={'either'}, X={'xray', 'tub', 'smoke'}",0,0,500,500,0,1.0,153,347
asia.bif,8,0.015,7,0,"Y={'either'}, X={'xray', 'lung'}; Y={'dysp'}, X={'either', 'smoke'}",0,0,500,500,0,1.0,157,343
asia.bif,8,0.015,8,1,"Y={'either'}, X={'xray', 'asia'}; Y={'tub'}, X={'either', 'smoke'}",1,1,500,175,325,0.35,153,22
asia.bif,8,0.015,9,0,"Y={'xray'}, X={'either', 'bronc'}; Y={'tub'}, X={'either'}",0,0,500,500,0,1.0,161,339
asia.bif,8,0.025,0,1,"Y={'dysp'}, X={'bronc'}; Y={'either'}, X={'dysp', 'tub', 'bronc'}",1,1,500,181,319,0.362,145,36
asia.bif,8,0.025,1,2,"Y={'dysp'}, X={'either', 'lung'}; Y={'lung'}, X={'smoke'}",2,2,500,129,371,0.258,123,6
asia.bif,8,0.025,2,0,"Y={'either'}, X={'lung'}; Y={'asia'}, X={'either', 'smoke', 'tub', 'bronc'}",0,0,500,500,0,1.0,139,361
asia.bif,8,0.025,3,1,"Y={'either'}, X={'xray', 'tub'}; Y={'smoke'}, X={'bronc'}",1,1,500,169,331,0.338,147,22
asia.bif,8,0.025,4,0,"Y={'bronc'}, X={'dysp'}; Y={'tub'}, X={'either', 'lung'}",0,0,500,500,0,1.0,132,368
asia.bif,8,0.025,5,0,"Y={'either'}, X={'asia', 'lung'}; Y={'lung'}, X={'either'}",0,0,500,500,0,1.0,165,335
asia.bif,8,0.025,6,0,"Y={'lung'}, X={'either'}; Y={'either'}, X={'dysp', 'tub'}",0,0,500,500,0,1.0,162,338
asia.bif,8,0.025,7,1,"Y={'dysp'}, X={'either'}; Y={'xray'}, X={'either', 'smoke', 'bronc'}",0,0,500,500,0,1.0,125,375
asia.bif,8,0.025,8,0,"Y={'smoke'}, X={'bronc'}; Y={'either'}, X={'smoke', 'tub'}",0,0,500,500,0,1.0,137,363
asia.bif,8,0.025,9,2,"Y={'dysp'}, X={'either'}; Y={'bronc'}, X={'xray', 'smoke', 'tub'}",2,2,500,153,347,0.306,146,7
asia.bif,8,0.035,0,2,"Y={'dysp'}, X={'either'}; Y={'smoke'}, X={'either', 'lung', 'bronc'}",2,2,500,143,357,0.286,126,17
asia.bif,8,0.035,1,1,"Y={'tub'}, X={'asia', 'lung', 'bronc'}; Y={'lung'}, X={'either'}",1,1,500,171,329,0.342,150,21
asia.bif,8,0.035,2,0,"Y={'lung'}, X={'either', 'smoke'}; Y={'lung'}, X={'either', 'xray'}",0,0,500,500,0,1.0,155,345
asia.bif,8,0.035,3,0,"Y={'either'}, X={'xray', 'lung'}; Y={'tub'}, X={'either', 'asia', 'lung'}",0,0,500,500,0,1.0,151,349
asia.bif,8,0.035,4,0,"Y={'xray'}, X={'either', 'asia'}; Y={'either'}, X={'lung'}",0,0,500,500,0,1.0,159,341
asia.bif,8,0.035,5,1,"Y={'smoke'}, X={'dysp', 'bronc'}; Y={'smoke'}, X={'asia', 'lung'}",0,0,500,500,0,1.0,146,354
asia.bif,8,0.035,6,3,"Y={'tub'}, X={'either', 'bronc'}; Y={'dysp'}, X={'either', 'xray', 'tub'}",3,3,500,131,369,0.262,129,2
asia.bif,8,0.035,7,0,"Y={'dysp'}, X={'either'}; Y={'bronc'}, X={'smoke'}",0,0,500,500,0,1.0,171,329
asia.bif,8,0.035,8,0,"Y={'dysp'}, X={'either', 'xray', 'asia', 'lung'}; Y={'dysp'}, X={'smoke', 'bronc'}",0,0,500,500,0,1.0,144,356
asia.bif,8,0.035,9,0,"Y={'tub'}, X={'either', 'asia', 'lung'}; Y={'either'}, X={'dysp'}",0,0,500,500,0,1.0,145,355
sachs.bif,11,0.005,0,0,"Y={'Erk'}, X={'PKA', 'PIP2'}; Y={'PKA'}, X={'Akt'}",0,0,500,500,0,1.0,139,361
sachs.bif,11,0.005,1,0,"Y={'P38'}, X={'PKA'}; Y={'Mek'}, X={'PKC', 'PKA'}",0,0,500,500,0,1.0,144,356
sachs.bif,11,0.005,2,0,"Y={'PKA'}, X={'Plcg', 'P38', 'Raf', 'Mek'}; Y={'Jnk'}, X={'PKC'}",0,0,500,500,0,1.0,161,339
