graph,n_vars,p_conf,sim,n_confounders,query,query_is_cf,n_R_theta,n_R_theta_star,n_experiments,n_cf_experiments,fraction_cf,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
asia.bif,8,0.005,0,0,"Y={'either', 'smoke', 'bronc', 'dysp'}, X={'asia', 'tub', 'lung'}; Y={'either'}, X={'asia', 'smoke', 'lung'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,1,0,"Y={'tub', 'smoke', 'lung', 'xray'}, X={'either', 'asia'}; Y={'asia', 'lung', 'xray', 'bronc', 'dysp'}, X={'either', 'tub', 'smoke'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,2,1,"Y={'asia', 'lung', 'xray', 'either', 'bronc'}, X={'tub', 'smoke'}; Y={'either', 'lung', 'xray'}, X={'asia', 'tub', 'smoke'}",True,1,1,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,3,0,"Y={'lung', 'xray', 'smoke', 'bronc', 'dysp'}, X={'either', 'asia', 'tub'}; Y={'lung', 'xray', 'smoke', 'bronc', 'dysp'}, X={'either', 'asia', 'tub'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,4,0,"Y={'asia', 'smoke', 'lung', 'xray'}, X={'either', 'tub'}; Y={'xray'}, X={'either', 'asia', 'smoke'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,5,0,"Y={'tub', 'bronc', 'lung', 'xray'}, X={'either', 'asia', 'smoke'}; Y={'lung', 'xray'}, X={'either', 'asia', 'tub', 'smoke'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,6,0,"Y={'asia', 'lung', 'dysp'}, X={'either', 'tub', 'smoke', 'bronc'}; Y={'xray', 'dysp'}, X={'asia', 'tub', 'either', 'smoke', 'bronc'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,7,0,"Y={'tub', 'lung', 'xray', 'either', 'dysp'}, X={'asia', 'smoke', 'bronc'}; Y={'xray'}, X={'asia'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,8,0,"Y={'bronc', 'dysp'}, X={'either', 'asia', 'smoke', 'lung'}; Y={'dysp', 'bronc', 'xray'}, X={'either', 'tub', 'smoke', 'lung'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.005,9,0,"Y={'either', 'asia'}, X={'tub'}; Y={'either', 'asia', 'xray'}, X={'tub', 'lung'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.015,0,1,"Y={'tub', 'either', 'smoke', 'bronc', 'dysp'}, X={'asia', 'lung'}; Y={'tub', 'lung', 'smoke', 'bronc', 'dysp'}, X={'either', 'asia'}",True,0,0,50,0,0.0,50,0,1.0,50,0
