graph,n_vars,p_conf,sim,n_confounders,query_y,query_x,n_R_theta,n_R_theta_star,n_experiments,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
asia.bif,8,0.05,0,1,either,lung,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,1,1,either,tub,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,2,2,xray,either,0,0,56,56,0,1.0,52,4
asia.bif,8,0.05,3,0,xray,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,4,2,tub,asia,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,5,2,either,tub,1,1,56,53,3,0.9464285714285714,53,0
asia.bif,8,0.05,6,1,lung,smoke,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,7,2,dysp,bronc,2,2,56,55,1,0.9821428571428571,55,0
asia.bif,8,0.05,8,1,dysp,bronc,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,9,3,tub,asia,1,1,56,53,3,0.9464285714285714,53,0
asia.bif,8,0.05,10,0,bronc,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,11,0,bronc,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,12,0,xray,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,13,1,either,tub,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,14,3,dysp,either,1,1,56,53,3,0.9464285714285714,52,1
asia.bif,8,0.05,15,2,lung,smoke,1,1,56,53,3,0.9464285714285714,53,0
asia.bif,8,0.05,16,1,either,lung,0,0,56,56,0,1.0,55,1
asia.bif,8,0.05,17,0,either,lung,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,18,2,xray,either,1,1,56,53,3,0.9464285714285714,52,1
asia.bif,8,0.05,19,1,xray,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,20,2,dysp,either,1,1,56,53,3,0.9464285714285714,51,2
asia.bif,8,0.05,21,1,xray,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,22,5,tub,asia,2,3,56,44,12,0.7857142857142857,43,1
asia.bif,8,0.05,23,1,lung,smoke,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,24,0,lung,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,25,4,tub,asia,1,1,56,56,0,1.0,55,1
asia.bif,8,0.05,26,4,bronc,smoke,0,0,56,56,0,1.0,51,5
asia.bif,8,0.05,27,2,tub,asia,0,0,56,56,0,1.0,52,4
asia.bif,8,0.05,28,3,lung,smoke,1,2,56,53,3,0.9464285714285714,53,0
asia.bif,8,0.05,29,1,either,lung,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,30,1,xray,either,0,0,56,56,0,1.0,53,3
asia.bif,8,0.05,31,1,bronc,smoke,0,0,56,56,0,1.0,52,4
asia.bif,8,0.05,32,0,tub,asia,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,33,1,tub,asia,0,0,56,56,0,1.0,55,1
asia.bif,8,0.05,34,1,lung,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,35,1,tub,asia,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,36,1,xray,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,37,1,tub,asia,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,38,1,bronc,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,39,0,bronc,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,40,2,lung,smoke,0,0,56,56,0,1.0,54,2
asia.bif,8,0.05,41,0,bronc,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,42,3,xray,either,0,0,56,56,0,1.0,53,3
asia.bif,8,0.05,43,0,tub,asia,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,44,1,dysp,bronc,1,1,56,52,4,0.9285714285714286,52,0
asia.bif,8,0.05,45,2,bronc,smoke,1,1,56,55,1,0.9821428571428571,54,1
asia.bif,8,0.05,46,2,xray,either,1,2,56,52,4,0.9285714285714286,52,0
asia.bif,8,0.05,47,2,either,lung,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,48,3,dysp,bronc,3,3,56,51,5,0.9107142857142857,51,0
asia.bif,8,0.05,49,0,lung,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,50,2,lung,smoke,0,0,56,56,0,1.0,52,4
asia.bif,8,0.05,51,0,xray,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,52,0,tub,asia,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,53,0,dysp,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,54,1,lung,smoke,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,55,0,dysp,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,56,2,either,tub,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,57,1,xray,either,0,0,56,56,0,1.0,55,1
asia.bif,8,0.05,58,0,either,tub,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,59,0,xray,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,60,3,dysp,either,3,3,56,56,0,1.0,56,0
asia.bif,8,0.05,61,0,dysp,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,62,0,either,tub,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,63,0,bronc,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,64,2,lung,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,65,0,tub,asia,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,66,3,xray,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,67,3,either,lung,3,3,56,50,6,0.8928571428571429,50,0
asia.bif,8,0.05,68,1,either,tub,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,69,0,xray,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,70,4,bronc,smoke,2,2,56,54,2,0.9642857142857143,53,1
asia.bif,8,0.05,71,3,tub,asia,1,1,56,53,3,0.9464285714285714,53,0
asia.bif,8,0.05,72,1,tub,asia,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,73,3,bronc,smoke,1,3,56,55,1,0.9821428571428571,55,0
asia.bif,8,0.05,74,2,lung,smoke,1,2,56,52,4,0.9285714285714286,52,0
asia.bif,8,0.05,75,2,bronc,smoke,0,0,56,56,0,1.0,53,3
asia.bif,8,0.05,76,0,xray,either,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,77,1,dysp,either,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,78,0,tub,asia,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,79,1,tub,asia,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,80,3,dysp,bronc,3,3,56,55,1,0.9821428571428571,55,0
asia.bif,8,0.05,81,0,lung,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,82,0,tub,asia,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,83,4,either,tub,1,1,56,56,0,1.0,56,0
asia.bif,8,0.05,84,0,lung,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,85,1,dysp,bronc,1,1,56,53,3,0.9464285714285714,53,0
asia.bif,8,0.05,86,0,lung,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,87,1,bronc,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,88,2,either,tub,1,2,56,56,0,1.0,56,0
asia.bif,8,0.05,89,4,either,lung,4,4,56,47,9,0.8392857142857143,47,0
asia.bif,8,0.05,90,3,dysp,either,1,1,56,53,3,0.9464285714285714,48,5
asia.bif,8,0.05,91,0,either,tub,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,92,0,lung,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,93,0,bronc,smoke,0,0,56,56,0,1.0,56,0
asia.bif,8,0.05,94,2,dysp,either,1,1,56,56,0,1.0,56,0
